,TICKER
2344,SNSS
2348,SNY
2374,SPHS
2376,SPPI
2385,SPRO
2387,SRNE
2391,SRPT
2400,SRRA
2405,SRRK
2406,STDY
2407,STML
2412,SUPN
2418,SURF
2420,SVRA
2424,SYBX
2426,SYN
2430,SYRS
2432,TBIO
2434,TBPH
2448,TCDA
2449,TCON
2459,TENX
2462,TEVA
2471,TGTX
2480,THERF
2481,TNXP
2484,TOCA
2487,TORC
2489,TPIV
2493,TRIL
2497,TROV
2499,TRPX
2502,TRVN
2505,TSRO
2519,TTNP
2521,TTPH
2524,TXMD
2527,TYME
2529,UBX
2530,UMRX
2533,URGN
2537,UTHR
2543,VBIV
2546,VBLT
2551,VCEL
2553,VCNX
2556,VICL
2561,VKTX
2564,VNDA
2572,VRCA
2575,VRNA
2578,VRTX
2602,VSAR
2603,VSTM
2610,VTGN
2613,VTL
2616,VTVT
2620,VVUS
2623,VXRT
2625,VYGR
2626,WVE
2629,XBIT
2636,XENE
2642,XENT
2644,XERS
2649,XLRN
2660,XNCR
2665,XOMA
2669,XTLB
2670,XXII
2671,ZEAL
2675,ZFGN
2679,ZGNX
2686,ZIOP
2694,ZLAB
2700,ZSAN
2703,ZYME
2704,ZYNE
